VH_EFFECTIVE_DT,VH_AGE,VH_RET_AGE,VH_ANN_SAL,VH_MTHLY_SS_INCOME
1/1/2017 0:00,15,62,"20,000",736
1/1/2017 0:00,15,62,"40,000","1,119"
1/1/2017 0:00,15,62,"60,000","1,496"
1/1/2017 0:00,15,62,"80,000","1,714"
1/1/2017 0:00,15,62,"100,000","1,891"
1/1/2017 0:00,15,62,"120,000","2,068"
1/1/2017 0:00,15,62,"127,200","2,132"
1/1/2017 0:00,15,65,"20,000",912
1/1/2017 0:00,15,65,"40,000","1,386"
1/1/2017 0:00,15,65,"60,000","1,855"
1/1/2017 0:00,15,65,"80,000","2,124"
1/1/2017 0:00,15,65,"100,000","2,343"
1/1/2017 0:00,15,65,"120,000","2,563"
1/1/2017 0:00,15,65,"127,200","2,642"
1/1/2017 0:00,15,67,"20,000","1,053"
1/1/2017 0:00,15,67,"40,000","1,600"
1/1/2017 0:00,15,67,"60,000","2,141"
1/1/2017 0:00,15,67,"80,000","2,452"
1/1/2017 0:00,15,67,"100,000","2,705"
1/1/2017 0:00,15,67,"120,000","2,959"
1/1/2017 0:00,15,67,"127,200","3,050"
1/1/2017 0:00,15,70,"20,000","1,297"
1/1/2017 0:00,15,70,"40,000","1,958"
1/1/2017 0:00,15,70,"60,000","2,620"
1/1/2017 0:00,15,70,"80,000","3,001"
1/1/2017 0:00,15,70,"100,000","3,311"
1/1/2017 0:00,15,70,"120,000","3,621"
1/1/2017 0:00,15,70,"127,200","3,732"
1/1/2017 0:00,15,75,"20,000","1,297"
1/1/2017 0:00,15,75,"40,000","1,958"
1/1/2017 0:00,15,75,"60,000","2,620"
1/1/2017 0:00,15,75,"80,000","3,001"
1/1/2017 0:00,15,75,"100,000","3,311"
1/1/2017 0:00,15,75,"120,000","3,621"
1/1/2017 0:00,15,75,"127,200","3,732"
1/1/2017 0:00,15,80,"20,000","1,297"
1/1/2017 0:00,15,80,"40,000","1,958"
1/1/2017 0:00,15,80,"60,000","2,620"
1/1/2017 0:00,15,80,"80,000","3,001"
1/1/2017 0:00,15,80,"100,000","3,311"
1/1/2017 0:00,15,80,"120,000","3,621"
1/1/2017 0:00,15,80,"127,200","3,732"
1/1/2017 0:00,15,85,"20,000","1,297"
1/1/2017 0:00,15,85,"40,000","1,958"
1/1/2017 0:00,15,85,"60,000","2,620"
1/1/2017 0:00,15,85,"80,000","3,001"
1/1/2017 0:00,15,85,"100,000","3,311"
1/1/2017 0:00,15,85,"120,000","3,621"
1/1/2017 0:00,15,85,"127,200","3,732"
1/1/2017 0:00,20,62,"20,000",736
1/1/2017 0:00,20,62,"40,000","1,119"
1/1/2017 0:00,20,62,"60,000","1,496"
1/1/2017 0:00,20,62,"80,000","1,714"
1/1/2017 0:00,20,62,"100,000","1,891"
1/1/2017 0:00,20,62,"120,000","2,068"
1/1/2017 0:00,20,62,"127,200","2,132"
1/1/2017 0:00,20,65,"20,000",912
1/1/2017 0:00,20,65,"40,000","1,386"
1/1/2017 0:00,20,65,"60,000","1,855"
1/1/2017 0:00,20,65,"80,000","2,124"
1/1/2017 0:00,20,65,"100,000","2,343"
1/1/2017 0:00,20,65,"120,000","2,563"
1/1/2017 0:00,20,65,"127,200","2,642"
1/1/2017 0:00,20,67,"20,000","1,053"
1/1/2017 0:00,20,67,"40,000","1,600"
1/1/2017 0:00,20,67,"60,000","2,141"
1/1/2017 0:00,20,67,"80,000","2,452"
1/1/2017 0:00,20,67,"100,000","2,705"
1/1/2017 0:00,20,67,"120,000","2,959"
1/1/2017 0:00,20,67,"127,200","3,050"
1/1/2017 0:00,20,70,"20,000","1,297"
1/1/2017 0:00,20,70,"40,000","1,958"
1/1/2017 0:00,20,70,"60,000","2,620"
1/1/2017 0:00,20,70,"80,000","3,001"
1/1/2017 0:00,20,70,"100,000","3,311"
1/1/2017 0:00,20,70,"120,000","3,621"
1/1/2017 0:00,20,70,"127,200","3,732"
1/1/2017 0:00,20,75,"20,000","1,297"
1/1/2017 0:00,20,75,"40,000","1,958"
1/1/2017 0:00,20,75,"60,000","2,620"
1/1/2017 0:00,20,75,"80,000","3,001"
1/1/2017 0:00,20,75,"100,000","3,311"
1/1/2017 0:00,20,75,"120,000","3,621"
1/1/2017 0:00,20,75,"127,200","3,732"
1/1/2017 0:00,20,80,"20,000","1,297"
1/1/2017 0:00,20,80,"40,000","1,958"
1/1/2017 0:00,20,80,"60,000","2,620"
1/1/2017 0:00,20,80,"80,000","3,001"
1/1/2017 0:00,20,80,"100,000","3,311"
1/1/2017 0:00,20,80,"120,000","3,621"
1/1/2017 0:00,20,80,"127,200","3,732"
1/1/2017 0:00,20,85,"20,000","1,297"
1/1/2017 0:00,20,85,"40,000","1,958"
1/1/2017 0:00,20,85,"60,000","2,620"
1/1/2017 0:00,20,85,"80,000","3,001"
1/1/2017 0:00,20,85,"100,000","3,311"
1/1/2017 0:00,20,85,"120,000","3,621"
1/1/2017 0:00,20,85,"127,200","3,732"
1/1/2017 0:00,22,62,"20,000",736
1/1/2017 0:00,22,62,"40,000","1,119"
1/1/2017 0:00,22,62,"60,000","1,496"
1/1/2017 0:00,22,62,"80,000","1,714"
1/1/2017 0:00,22,62,"100,000","1,891"
1/1/2017 0:00,22,62,"120,000","2,068"
1/1/2017 0:00,22,62,"127,200","2,132"
1/1/2017 0:00,22,65,"20,000",912
1/1/2017 0:00,22,65,"40,000","1,386"
1/1/2017 0:00,22,65,"60,000","1,855"
1/1/2017 0:00,22,65,"80,000","2,124"
1/1/2017 0:00,22,65,"100,000","2,343"
1/1/2017 0:00,22,65,"120,000","2,563"
1/1/2017 0:00,22,65,"127,200","2,642"
1/1/2017 0:00,22,67,"20,000","1,053"
1/1/2017 0:00,22,67,"40,000","1,600"
1/1/2017 0:00,22,67,"60,000","2,141"
1/1/2017 0:00,22,67,"80,000","2,452"
1/1/2017 0:00,22,67,"100,000","2,705"
1/1/2017 0:00,22,67,"120,000","2,959"
1/1/2017 0:00,22,67,"127,200","3,050"
1/1/2017 0:00,22,70,"20,000","1,297"
1/1/2017 0:00,22,70,"40,000","1,958"
1/1/2017 0:00,22,70,"60,000","2,620"
1/1/2017 0:00,22,70,"80,000","3,001"
1/1/2017 0:00,22,70,"100,000","3,311"
1/1/2017 0:00,22,70,"120,000","3,621"
1/1/2017 0:00,22,70,"127,200","3,732"
1/1/2017 0:00,22,75,"20,000","1,297"
1/1/2017 0:00,22,75,"40,000","1,958"
1/1/2017 0:00,22,75,"60,000","2,620"
1/1/2017 0:00,22,75,"80,000","3,001"
1/1/2017 0:00,22,75,"100,000","3,311"
1/1/2017 0:00,22,75,"120,000","3,621"
1/1/2017 0:00,22,75,"127,200","3,732"
1/1/2017 0:00,22,80,"20,000","1,297"
1/1/2017 0:00,22,80,"40,000","1,958"
1/1/2017 0:00,22,80,"60,000","2,620"
1/1/2017 0:00,22,80,"80,000","3,001"
1/1/2017 0:00,22,80,"100,000","3,311"
1/1/2017 0:00,22,80,"120,000","3,621"
1/1/2017 0:00,22,80,"127,200","3,732"
1/1/2017 0:00,22,85,"20,000","1,297"
1/1/2017 0:00,22,85,"40,000","1,958"
1/1/2017 0:00,22,85,"60,000","2,620"
1/1/2017 0:00,22,85,"80,000","3,001"
1/1/2017 0:00,22,85,"100,000","3,311"
1/1/2017 0:00,22,85,"120,000","3,621"
1/1/2017 0:00,22,85,"127,200","3,732"
1/1/2017 0:00,25,62,"20,000",736
1/1/2017 0:00,25,62,"40,000","1,119"
1/1/2017 0:00,25,62,"60,000","1,496"
1/1/2017 0:00,25,62,"80,000","1,714"
1/1/2017 0:00,25,62,"100,000","1,891"
1/1/2017 0:00,25,62,"120,000","2,068"
1/1/2017 0:00,25,62,"127,200","2,132"
1/1/2017 0:00,25,65,"20,000",912
1/1/2017 0:00,25,65,"40,000","1,386"
1/1/2017 0:00,25,65,"60,000","1,855"
1/1/2017 0:00,25,65,"80,000","2,124"
1/1/2017 0:00,25,65,"100,000","2,343"
1/1/2017 0:00,25,65,"120,000","2,563"
1/1/2017 0:00,25,65,"127,200","2,642"
1/1/2017 0:00,25,67,"20,000","1,053"
1/1/2017 0:00,25,67,"40,000","1,600"
1/1/2017 0:00,25,67,"60,000","2,141"
1/1/2017 0:00,25,67,"80,000","2,452"
1/1/2017 0:00,25,67,"100,000","2,705"
1/1/2017 0:00,25,67,"120,000","2,959"
1/1/2017 0:00,25,67,"127,200","3,050"
1/1/2017 0:00,25,70,"20,000","1,297"
1/1/2017 0:00,25,70,"40,000","1,958"
1/1/2017 0:00,25,70,"60,000","2,620"
1/1/2017 0:00,25,70,"80,000","3,001"
1/1/2017 0:00,25,70,"100,000","3,311"
1/1/2017 0:00,25,70,"120,000","3,621"
1/1/2017 0:00,25,70,"127,200","3,732"
1/1/2017 0:00,25,75,"20,000","1,297"
1/1/2017 0:00,25,75,"40,000","1,958"
1/1/2017 0:00,25,75,"60,000","2,620"
1/1/2017 0:00,25,75,"80,000","3,001"
1/1/2017 0:00,25,75,"100,000","3,311"
1/1/2017 0:00,25,75,"120,000","3,621"
1/1/2017 0:00,25,75,"127,200","3,732"
1/1/2017 0:00,25,80,"20,000","1,297"
1/1/2017 0:00,25,80,"40,000","1,958"
1/1/2017 0:00,25,80,"60,000","2,620"
1/1/2017 0:00,25,80,"80,000","3,001"
1/1/2017 0:00,25,80,"100,000","3,311"
1/1/2017 0:00,25,80,"120,000","3,621"
1/1/2017 0:00,25,80,"127,200","3,732"
1/1/2017 0:00,25,85,"20,000","1,297"
1/1/2017 0:00,25,85,"40,000","1,958"
1/1/2017 0:00,25,85,"60,000","2,620"
1/1/2017 0:00,25,85,"80,000","3,001"
1/1/2017 0:00,25,85,"100,000","3,311"
1/1/2017 0:00,25,85,"120,000","3,621"
1/1/2017 0:00,25,85,"127,200","3,732"
1/1/2017 0:00,30,62,"20,000",733
1/1/2017 0:00,30,62,"40,000","1,112"
1/1/2017 0:00,30,62,"60,000","1,487"
1/1/2017 0:00,30,62,"80,000","1,708"
1/1/2017 0:00,30,62,"100,000","1,883"
1/1/2017 0:00,30,62,"120,000","2,059"
1/1/2017 0:00,30,62,"127,200","2,122"
1/1/2017 0:00,30,65,"20,000",912
1/1/2017 0:00,30,65,"40,000","1,386"
1/1/2017 0:00,30,65,"60,000","1,855"
1/1/2017 0:00,30,65,"80,000","2,124"
1/1/2017 0:00,30,65,"100,000","2,343"
1/1/2017 0:00,30,65,"120,000","2,563"
1/1/2017 0:00,30,65,"127,200","2,642"
1/1/2017 0:00,30,67,"20,000","1,053"
1/1/2017 0:00,30,67,"40,000","1,600"
1/1/2017 0:00,30,67,"60,000","2,141"
1/1/2017 0:00,30,67,"80,000","2,452"
1/1/2017 0:00,30,67,"100,000","2,705"
1/1/2017 0:00,30,67,"120,000","2,959"
1/1/2017 0:00,30,67,"127,200","3,050"
1/1/2017 0:00,30,70,"20,000","1,297"
1/1/2017 0:00,30,70,"40,000","1,958"
1/1/2017 0:00,30,70,"60,000","2,620"
1/1/2017 0:00,30,70,"80,000","3,001"
1/1/2017 0:00,30,70,"100,000","3,311"
1/1/2017 0:00,30,70,"120,000","3,621"
1/1/2017 0:00,30,70,"127,200","3,732"
1/1/2017 0:00,30,75,"20,000","1,297"
1/1/2017 0:00,30,75,"40,000","1,958"
1/1/2017 0:00,30,75,"60,000","2,620"
1/1/2017 0:00,30,75,"80,000","3,001"
1/1/2017 0:00,30,75,"100,000","3,311"
1/1/2017 0:00,30,75,"120,000","3,621"
1/1/2017 0:00,30,75,"127,200","3,732"
1/1/2017 0:00,30,80,"20,000","1,297"
1/1/2017 0:00,30,80,"40,000","1,958"
1/1/2017 0:00,30,80,"60,000","2,620"
1/1/2017 0:00,30,80,"80,000","3,001"
1/1/2017 0:00,30,80,"100,000","3,311"
1/1/2017 0:00,30,80,"120,000","3,621"
1/1/2017 0:00,30,80,"127,200","3,732"
1/1/2017 0:00,30,85,"20,000","1,297"
1/1/2017 0:00,30,85,"40,000","1,958"
1/1/2017 0:00,30,85,"60,000","2,620"
1/1/2017 0:00,30,85,"80,000","3,001"
1/1/2017 0:00,30,85,"100,000","3,311"
1/1/2017 0:00,30,85,"120,000","3,621"
1/1/2017 0:00,30,85,"127,200","3,732"
1/1/2017 0:00,35,62,"20,000",724
1/1/2017 0:00,35,62,"40,000","1,093"
1/1/2017 0:00,35,62,"60,000","1,458"
1/1/2017 0:00,35,62,"80,000","1,690"
1/1/2017 0:00,35,62,"100,000","1,861"
1/1/2017 0:00,35,62,"120,000","2,032"
1/1/2017 0:00,35,62,"127,200","2,094"
1/1/2017 0:00,35,65,"20,000",904
1/1/2017 0:00,35,65,"40,000","1,370"
1/1/2017 0:00,35,65,"60,000","1,830"
1/1/2017 0:00,35,65,"80,000","2,109"
1/1/2017 0:00,35,65,"100,000","2,325"
1/1/2017 0:00,35,65,"120,000","2,540"
1/1/2017 0:00,35,65,"127,200","2,618"
1/1/2017 0:00,35,67,"20,000","1,048"
1/1/2017 0:00,35,67,"40,000","1,591"
1/1/2017 0:00,35,67,"60,000","2,127"
1/1/2017 0:00,35,67,"80,000","2,443"
1/1/2017 0:00,35,67,"100,000","2,695"
1/1/2017 0:00,35,67,"120,000","2,946"
1/1/2017 0:00,35,67,"127,200","3,036"
1/1/2017 0:00,35,70,"20,000","1,297"
1/1/2017 0:00,35,70,"40,000","1,958"
1/1/2017 0:00,35,70,"60,000","2,620"
1/1/2017 0:00,35,70,"80,000","3,001"
1/1/2017 0:00,35,70,"100,000","3,311"
1/1/2017 0:00,35,70,"120,000","3,621"
1/1/2017 0:00,35,70,"127,200","3,732"
1/1/2017 0:00,35,75,"20,000","1,297"
1/1/2017 0:00,35,75,"40,000","1,958"
1/1/2017 0:00,35,75,"60,000","2,620"
1/1/2017 0:00,35,75,"80,000","3,001"
1/1/2017 0:00,35,75,"100,000","3,311"
1/1/2017 0:00,35,75,"120,000","3,621"
1/1/2017 0:00,35,75,"127,200","3,732"
1/1/2017 0:00,35,80,"20,000","1,297"
1/1/2017 0:00,35,80,"40,000","1,958"
1/1/2017 0:00,35,80,"60,000","2,620"
1/1/2017 0:00,35,80,"80,000","3,001"
1/1/2017 0:00,35,80,"100,000","3,311"
1/1/2017 0:00,35,80,"120,000","3,621"
1/1/2017 0:00,35,80,"127,200","3,732"
1/1/2017 0:00,35,85,"20,000","1,297"
1/1/2017 0:00,35,85,"40,000","1,958"
1/1/2017 0:00,35,85,"60,000","2,620"
1/1/2017 0:00,35,85,"80,000","3,001"
1/1/2017 0:00,35,85,"100,000","3,311"
1/1/2017 0:00,35,85,"120,000","3,621"
1/1/2017 0:00,35,85,"127,200","3,732"
1/1/2017 0:00,40,62,"20,000",710
1/1/2017 0:00,40,62,"40,000","1,066"
1/1/2017 0:00,40,62,"60,000","1,417"
1/1/2017 0:00,40,62,"80,000","1,664"
1/1/2017 0:00,40,62,"100,000","1,829"
1/1/2017 0:00,40,62,"120,000","1,994"
1/1/2017 0:00,40,62,"127,200","2,053"
1/1/2017 0:00,40,65,"20,000",890
1/1/2017 0:00,40,65,"40,000","1,342"
1/1/2017 0:00,40,65,"60,000","1,788"
1/1/2017 0:00,40,65,"80,000","2,083"
1/1/2017 0:00,40,65,"100,000","2,292"
1/1/2017 0:00,40,65,"120,000","2,501"
1/1/2017 0:00,40,65,"127,200","2,576"
1/1/2017 0:00,40,67,"20,000","1,035"
1/1/2017 0:00,40,67,"40,000","1,564"
1/1/2017 0:00,40,67,"60,000","2,086"
1/1/2017 0:00,40,67,"80,000","2,418"
1/1/2017 0:00,40,67,"100,000","2,663"
1/1/2017 0:00,40,67,"120,000","2,907"
1/1/2017 0:00,40,67,"127,200","2,995"
1/1/2017 0:00,40,70,"20,000","1,286"
1/1/2017 0:00,40,70,"40,000","1,936"
1/1/2017 0:00,40,70,"60,000","2,585"
1/1/2017 0:00,40,70,"80,000","2,979"
1/1/2017 0:00,40,70,"100,000","3,284"
1/1/2017 0:00,40,70,"120,000","3,589"
1/1/2017 0:00,40,70,"127,200","3,698"
1/1/2017 0:00,40,75,"20,000","1,297"
1/1/2017 0:00,40,75,"40,000","1,958"
1/1/2017 0:00,40,75,"60,000","2,620"
1/1/2017 0:00,40,75,"80,000","3,001"
1/1/2017 0:00,40,75,"100,000","3,311"
1/1/2017 0:00,40,75,"120,000","3,621"
1/1/2017 0:00,40,75,"127,200","3,732"
1/1/2017 0:00,40,80,"20,000","1,297"
1/1/2017 0:00,40,80,"40,000","1,958"
1/1/2017 0:00,40,80,"60,000","2,620"
1/1/2017 0:00,40,80,"80,000","3,001"
1/1/2017 0:00,40,80,"100,000","3,311"
1/1/2017 0:00,40,80,"120,000","3,621"
1/1/2017 0:00,40,80,"127,200","3,732"
1/1/2017 0:00,40,85,"20,000","1,297"
1/1/2017 0:00,40,85,"40,000","1,958"
1/1/2017 0:00,40,85,"60,000","2,620"
1/1/2017 0:00,40,85,"80,000","3,001"
1/1/2017 0:00,40,85,"100,000","3,311"
1/1/2017 0:00,40,85,"120,000","3,621"
1/1/2017 0:00,40,85,"127,200","3,732"
1/1/2017 0:00,45,62,"20,000",693
1/1/2017 0:00,45,62,"40,000","1,031"
1/1/2017 0:00,45,62,"60,000","1,364"
1/1/2017 0:00,45,62,"80,000","1,632"
1/1/2017 0:00,45,62,"100,000","1,788"
1/1/2017 0:00,45,62,"120,000","1,945"
1/1/2017 0:00,45,62,"127,200","2,001"
1/1/2017 0:00,45,65,"20,000",871
1/1/2017 0:00,45,65,"40,000","1,304"
1/1/2017 0:00,45,65,"60,000","1,732"
1/1/2017 0:00,45,65,"80,000","2,047"
1/1/2017 0:00,45,65,"100,000","2,248"
1/1/2017 0:00,45,65,"120,000","2,448"
1/1/2017 0:00,45,65,"127,200","2,520"
1/1/2017 0:00,45,67,"20,000","1,015"
1/1/2017 0:00,45,67,"40,000","1,525"
1/1/2017 0:00,45,67,"60,000","2,027"
1/1/2017 0:00,45,67,"80,000","2,381"
1/1/2017 0:00,45,67,"100,000","2,617"
1/1/2017 0:00,45,67,"120,000","2,852"
1/1/2017 0:00,45,67,"127,200","2,937"
1/1/2017 0:00,45,70,"20,000","1,266"
1/1/2017 0:00,45,70,"40,000","1,897"
1/1/2017 0:00,45,70,"60,000","2,527"
1/1/2017 0:00,45,70,"80,000","2,943"
1/1/2017 0:00,45,70,"100,000","3,238"
1/1/2017 0:00,45,70,"120,000","3,533"
1/1/2017 0:00,45,70,"127,200","3,640"
1/1/2017 0:00,45,75,"20,000","1,286"
1/1/2017 0:00,45,75,"40,000","1,936"
1/1/2017 0:00,45,75,"60,000","2,585"
1/1/2017 0:00,45,75,"80,000","2,979"
1/1/2017 0:00,45,75,"100,000","3,284"
1/1/2017 0:00,45,75,"120,000","3,589"
1/1/2017 0:00,45,75,"127,200","3,698"
1/1/2017 0:00,45,80,"20,000","1,297"
1/1/2017 0:00,45,80,"40,000","1,958"
